A_INT_id	A_INT_hero_id	A_INT_need_level	A_INT_node_type	A_ARR_cost	A_ARR_camp_att
5103	51	15	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":300}]"
5104	51	20	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":400}]"
5105	51	25	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":500}]"
5201	52	5	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":100}]"
5202	52	10	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":200}]"
5203	52	15	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":300}]"
5204	52	20	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":400}]"
5205	52	25	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":500}]"
5301	53	5	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":100}]"
5302	53	10	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":200}]"
5303	53	15	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":300}]"
5304	53	20	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":400}]"
5305	53	25	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":500}]"
5401	54	5	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":100}]"
5402	54	10	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":200}]"
5403	54	15	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":300}]"
5404	54	20	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":400}]"
5405	54	25	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":500}]"
5501	55	5	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":100}]"
5502	55	10	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":200}]"
5503	55	15	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":300}]"
5504	55	20	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":400}]"
5505	55	25	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":500}]"
5601	56	5	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":100}]"
5602	56	10	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":200}]"
5603	56	15	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":300}]"
5604	56	20	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":400}]"
5605	56	25	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":500}]"
5701	57	5	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":100}]"
5702	57	10	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":200}]"
5703	57	15	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":300}]"
5704	57	20	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":400}]"
5705	57	25	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":500}]"
5801	58	5	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":100}]"
5802	58	10	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":200}]"
5803	58	15	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":300}]"
5804	58	20	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":400}]"
5805	58	25	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":500}]"
6401	64	5	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":100}]"
6402	64	10	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":200}]"
6403	64	15	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":300}]"
6404	64	20	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":400}]"
6405	64	25	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":500}]"
6501	65	5	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":100}]"
6502	65	10	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":200}]"
6503	65	15	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":300}]"
6504	65	20	1	[]	"[{""typ"":""buff"",""id"":40110,""val"":400}]"
6505	65	25	2	[]	"[{""typ"":""buff"",""id"":40110,""val"":500}]"
